# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "/home/nu/Diff_proj/Homo_sapiens.GRCh37.75_subset.gtf" "-g" "gene_name" "-o" "counts.txt" "Bam_org/UNT_SRR1039508_subset.bam" "Bam_org/UNT_SRR1039512_subset.bam" "Bam_org/UNT_SRR1039516_subset.bam" "Bam_org/UNT_SRR1039520_subset.bam" "Bam_org/TTT_SRR1039509_subset.bam" "Bam_org/TTT_SRR1039513_subset.bam" "Bam_org/TTT_SRR1039517_subset.bam" "Bam_org/TTT_SRR1039521_subset.bam" 
Geneid	Chr	Start	End	Strand	Length	Bam_org/UNT_SRR1039508_subset.bam	Bam_org/UNT_SRR1039512_subset.bam	Bam_org/UNT_SRR1039516_subset.bam	Bam_org/UNT_SRR1039520_subset.bam	Bam_org/TTT_SRR1039509_subset.bam	Bam_org/TTT_SRR1039513_subset.bam	Bam_org/TTT_SRR1039517_subset.bam	Bam_org/TTT_SRR1039521_subset.bam
C1orf127	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	11006528;11006530;11006530;11006530;11006532;11006787;11007700;11007700;11007700;11007700;11007700;11007700;11009681;11009681;11009681;11009759;11014076;11014076;11014076;11014076;11015047;11015047;11015047;11015047;11017080;11017080;11017642;11017642;11017673;11017673;11018771;11018771;11018771;11018771;11024185;11024185;11024185;11024185;11026415;11026415;11026415;11030027;11030027;11030027;11036213;11036213;11036213;11042069;11042069	11006795;11006798;11006798;11006798;11006643;11006798;11008901;11008901;11008901;11007927;11008901;11009808;11009871;11009871;11009871;11009871;11014199;11014199;11014199;11014199;11015243;11015243;11015243;11015243;11017164;11017164;11017810;11017810;11017810;11017810;11018809;11018809;11018809;11018809;11024328;11024328;11024328;11024258;11026539;11026539;11026539;11030146;11030146;11030146;11036272;11036313;11036313;11042094;11042094	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3573	0	8	0	2	0	2	0	0
CFL1P6	1;1	11051035;11051475	11051148;11051854	-;-	494	0	2	0	0	0	0	0	0
AL713997.1	1	11058233	11058320	-	88	0	0	0	0	0	0	0	0
Y_RNA	1	11059919	11060002	-	84	0	0	0	0	0	0	0	0
TARDBP	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	11072414;11072699;11072712;11072729;11072741;11073773;11073773;11073773;11073773;11073773;11073773;11073773;11075581;11076180;11076901;11076901;11076901;11076901;11076901;11076901;11078790;11078790;11078790;11078790;11078790;11078790;11078790;11080486;11080486;11080486;11080486;11080486;11080486;11080644;11082181;11082181;11082181;11082181;11082181;11083250;11083250;11083250;11083255;11084121;11084121;11084284;11084359;11085167;11085167;11085608	11072485;11072800;11072800;11072800;11072800;11074022;11074022;11074022;11074022;11074022;11074022;11074022;11075703;11076311;11077064;11077064;11077064;11077064;11077064;11077064;11078930;11078930;11078930;11078930;11078930;11078930;11078930;11080656;11080656;11080656;11080655;11080546;11080656;11080656;11082307;11082298;11082307;11082915;11084100;11083386;11084240;11083386;11083386;11084392;11085076;11084392;11084392;11085265;11085548;11085796	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4622	5336	6511	6872	4327	4050	3132	7216	3881
MASP2	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	11086580;11090233;11090805;11094885;11097750;11097750;11102932;11102932;11103396;11104855;11104855;11105465;11105465;11106613;11106613;11106948;11106948;11106948;11107260;11107260;11107260	11087705;11090307;11090939;11094963;11097868;11097868;11103255;11103079;11103592;11105010;11106790;11105596;11105596;11106790;11106790;11107176;11107176;11107176;11107284;11107290;11107280	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4251	71	120	78	89	56	43	78	67
RP4-635E18.8	1	11089716	11090585	+	870	98	85	75	77	88	66	87	64
SRM	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	11114641;11114646;11114721;11115019;11115019;11115838;11115838;11116068;11116068;11116068;11116661;11116661;11116661;11116759;11118767;11118857;11118857;11118857;11119282;11119282;11119282;11119834;11119834	11114942;11114942;11115141;11115141;11115261;11115983;11115877;11116151;11116151;11116151;11116814;11116814;11116814;11116814;11118930;11118949;11118949;11118949;11119743;11119437;11119402;11120077;11120081	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1898	2006	2240	2200	1487	2505	2622	3753	3064
EXOSC10	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	11126675;11126675;11126678;11126678;11126742;11128065;11128065;11128065;11128065;11128065;11128702;11128702;11128702;11128702;11128702;11128702;11128711;11129616;11129616;11129616;11129616;11129616;11129616;11130957;11130957;11130957;11130957;11130957;11130957;11132144;11132144;11132144;11132144;11132144;11133991;11133991;11133991;11134288;11134288;11134288;11134288;11134345;11136899;11136899;11136899;11136899;11136899;11137066;11137387;11137422;11137422;11137658;11137658;11137658;11137658;11139768;11139768;11139768;11139768;11139768;11139827;11140556;11140556;11140556;11140556;11140556;11140758;11140821;11140821;11140821;11140821;11141139;11141139;11141139;11141139;11141139;11142591;11142745;11142745;11142745;11147505;11147505;11147505;11147857;11147857;11147857;11148180;11148180;11148180;11150611;11150611;11150611;11151071;11151071;11151071;11151550;11151550;11151550;11151560;11155473;11155815;11155815;11155815;11155815;11158077;11158077;11158077;11158077;11159778;11159778;11159778;11159778	11126805;11126805;11126805;11126805;11126805;11128141;11128141;11128141;11128141;11128141;11128763;11128763;11128981;11128763;11128763;11128763;11128763;11129787;11129787;11129787;11129787;11129787;11129787;11133083;11131030;11131030;11131045;11131030;11131030;11132452;11132228;11132228;11132228;11132228;11134065;11134065;11134065;11134383;11134383;11134383;11134383;11134383;11137005;11137708;11137708;11137005;11137005;11137500;11137500;11137500;11137500;11137708;11137708;11137708;11137708;11139857;11139879;11139879;11139879;11139879;11139879;11140914;11140606;11140571;11140606;11140606;11140969;11140969;11140969;11140969;11140969;11141295;11141295;11141295;11141274;11141295;11142680;11142935;11142935;11142935;11147648;11147648;11147648;11147967;11147967;11147967;11148255;11148255;11148255;11150725;11150725;11150725;11151236;11151236;11151236;11151654;11151654;11151654;11151654;11155604;11155938;11155938;11155938;11155938;11158213;11158213;11158213;11158213;11159894;11159911;11159926;11159938	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6003	1914	2460	2132	1653	2347	2325	3119	3513
RP4-635E18.7	1;1	11128528;11130716	11128770;11133154	+;+	2682	3	2	3	2	1	2	13	4
